CliffWilkin,RT @LibertyUSA1776: Cruz won prominent NY straw poll.. https://t.co/BMcOwsNpAm #CruzCrew 🇺🇸🇺🇸 Why #NYPrimary should #ChooseCruz 👉🏾 https://…
HomerWhite,RT @OnlyHotyP: #Trump2016 Kirstie Alley: I Endorse Donald Trump ‘and I’m a Woman!’ https://t.co/QNNN8JesNf #TrumpTrain https://t.co/zUGO64v…
TheDonaldNorth,Wake up to tweet from #BernieSanders supporter that I'm sexist Is the coffee on honey? I'm talking my to partner A guy We're both #imwithher
1sonny12,RT @Trump2016Donald: Donald Trump king of new York! #NewYork #NewYorkPrimary #newyorkfortrump #trump2016 #trumptrain https://t.co/VUjxISIQij
TehPresident777,"RT @Socialist_Times: Stop shaming women who support Bernie into voting for Clinton https://t.co/FNym35huFt
#Women4Bernie #ImWithHer #P2 htt…"
SCforfreedom,"RT @dawngpsalm63: I find it VERY disturbing how they portray
#Cruz as the "" Second coming of Christ""
Darkness surrounds him! 🇨🇦🐍👩🏼☎️😈 https…"
djgrolyo,Big Endorsement!  #nyiswithher #ImWithHer #HillarySoQualified  https://t.co/i1O0IgLhxC
garett_davidson,"RT @SandraHartle: 🔹 #Trump
🔹 #MAGA
🔹 #Women4Trump
🔹 #NYValues
🔹 #NYPrimary
🔹 #CruzCrew
🔹 #NJ #VA
🔹 #stayonbudget
🔹 #BigHeart
🔹 #PA https://…"
wolfmother16,RT @Libertea2012: MT All of a sudden these wonderful Bernie and Jane pics are all over social media. In response to HRC… #BernieStrong http…
HEALTHCAREfisrt,RT @NadelParis: Finger waggin' PinocchioCommunist needs2go #ImWithHer #millennialsforhillary #NewYorkPrimary https://t.co/6lveV70TZ3 https:…
sladmor,"RT @Bros4Hillary: ""No one has inspired me more than @HillaryClinton has."" -@SenGillibrand #NYPrimary #HillarySoQualified #ImWithHer https:/…"
USABubble,"how many people belonging to the #European #Union would #VoteTrump ?

#WakeUpAmerica#Trump2016 #MakeAmericaGreatAgain
#WeCantBecomeEurope"
alcardfan,RT @PinnacleCascade: @alcardfan #AlwaysTrump #NeverCanadianTed . The @realDonaldTrump MSM will never report on.  https://t.co/itkUjM0tTP
sljartist,"RT @realDonaldTrump: ""@jlopez05391: @realDonaldTrump Rochester loves you! See you tomorrow! #MakeAmericaGreatAgain #Trump2016 #TrumpTrain""…"
